GEOID,community_area_num,community_area_num2,tract_name,VULNERABLE,FLOOD_SUSC,SURFACE_TE,AIR_TOXINS,PERCENT_CA,PRIORITY,RANK,VULRANK,COMMUNITY,asthma_pct,copd_pct,depression_pct,physical_inactivity_pct,mental_health_pct,obesity_pct,TotalPopulation,AQH_score,AQH_score_popweighted,AQH_score_max,AQH_percentile,AQH_block_group_count,AQH_tract_population
17031020602,2,2,Census Tract 206.02,0.0399,8.85983607331,81.1466666672,2.782,25.181,0.44642031602,High,High,West Ridge,8.6,4.5,16.6,21.5,13.4,25.8,"4,662",23.714,24.22,26.868,30.8,4.0,4637.0
17031063301,6,6,Census Tract 633.01,-0.0585,9.16195100311,76.3419354836,2.962,16.5543,0.37767911687,High,Low,Lake View,9.8,3.3,23.2,14.0,15.4,25.1,"2,833",20.225,20.722,23.125,22.3,3.0,2588.0
17031837800,28,28,Census Tract 8378,0.0192,9.16471670371,83.1054708518,2.502,8.99453,0.7955746407,Very high,Medium,Near West Side,11.8,5.2,19.6,23.7,17.9,38.3,"2,837",42.409,42.238,43.359,70.5,2.0,3110.0
17031837400,27,27,Census Tract 8374,0.0363,9.21325015997,80.8931506856,2.213,9.42524,0.61877296524,Very high,High,East Garfield Park,12.6,7.2,18.9,30.0,19.1,41.9,"1,990",64.269,64.267,64.308,96.0,2.0,2403.0
17031836900,27,27,Census Tract 8369,0.0328,9.54378965177,80.4952380956,2.153,9.8896,0.59963532107,Very high,High,East Garfield Park,14.2,10.4,22.0,38.5,23.3,49.6,"1,439",58.063,58.083,58.302,92.5,2.0,1422.0
17031020302,2,2,Census Tract 203.02,0.016,8.06320111525,79.821348314,2.73,29.1924,0.23483556177,Medium,Medium,West Ridge,9.6,6.5,19.1,23.4,14.4,30.4,"5,010",17.674,17.29,19.642,16.0,3.0,5023.0
17031020902,2,2,Census Tract 209.02,0.0437,8.38346365233,80.7251879696,3.166,18.5658,0.58403371349,Very high,High,West Ridge,9.7,7.3,18.5,29.9,16.1,31.1,"4,488",29.734,29.845,32.055,44.0,2.0,4474.0
17031010701,1,1,Census Tract 107.01,0.0272,8.69221280126,75.8396694218,2.678,41.7393,-0.16217157804,Medium,High,Rogers Park,9.8,4.8,18.9,20.7,14.8,31.6,"3,673",19.258,19.213,20.146,20.5,2.0,3833.0
17031030103,77,77,Census Tract 301.03,0.1024,8.21347491761,76.3062499994,3.387,12.9741,0.48963100279,High,Very high,Edgewater,10.5,5.2,22.9,21.9,18.7,29.2,"2,104",10.479,10.527,11.037,1.5,2.0,2217.0
17031063303,6,6,Census Tract 633.03,-0.3798,2.17153188628,75.374626865,3.084,25.9348,-0.36362114498,Low,Very low,Lake View,8.3,5.1,16.4,16.2,9.6,21.6,"1,274",31.086,30.858,32.714,46.5,2.0,1295.0
17031030102,77,77,Census Tract 301.02,-0.0005,7.86500235701,77.0268656714,3.622,6.66214,0.64080107022,Very high,Medium,Edgewater,9.9,6.1,20.0,22.3,15.7,30.5,"3,121",12.806,12.796,13.075,4.7,3.0,2766.0
17031010502,1,1,Census Tract 105.02,0.0512,8.64186216019,76.141116752,3.045,20.7272,0.29630515742,High,Very high,Rogers Park,10.0,3.5,21.7,16.2,16.5,27.5,"3,278",12.906,12.952,13.067,4.5,2.0,2631.0
