"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031710800","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","17.6",,,"15.3","19.9","4,804","3,782","POINT (-87.6488126 41.7478366)","17031710800","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031431400","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","18.7",,,"16.4","21.0","6,716","5,644","POINT (-87.546555 41.7572084)","17031431400","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031390500","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","31.9",,,"28.6","35.3","1,666","1,334","POINT (-87.5991987 41.8059781)","17031390500","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031310800","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","19.0",,,"16.9","21.4","4,175","3,421","POINT (-87.6685737 41.8559337)","17031310800","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031301200","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","35.0",,,"30.5","39.7","4,087","2,993","POINT (-87.6914771 41.8484171)","17031301200","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031550100","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","7.7",,,"6.8","8.7","7,019","5,379","POINT (-87.5359785 41.6631813)","17031550100","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031283100","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","16.7",,,"14.5","18.9","2,717","2,346","POINT (-87.664092 41.8692741)","17031283100","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031230500","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","18.2",,,"15.9","20.6","3,419","2,589","POINT (-87.7339434 41.9116892)","17031230500","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031260100","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","46.0",,,"41.9","50.0","1,477","1,222","POINT (-87.7233302 41.8843707)","17031260100","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031691400","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","10.8",,,"9.0","12.8","3,411","2,673","POINT (-87.6101685 41.7548455)","17031691400","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031242500","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","15.6",,,"13.5","17.9","3,426","2,930","POINT (-87.6893191 41.8994455)","17031242500","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031610300","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","17.9",,,"15.8","20.1","5,410","3,800","POINT (-87.6751022 41.8161779)","17031610300","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031700502","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","36.4",,,"32.6","40.2","2,978","2,489","POINT (-87.6887683 41.7388522)","17031700502","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031243300","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","22.0",,,"19.4","24.7","2,431","2,165","POINT (-87.6647388 41.8924781)","17031243300","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031243100","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","20.3",,,"17.8","22.8","2,249","1,808","POINT (-87.6745068 41.8923546)","17031243100","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031411200","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.1",,,"8.1","10.1","1,713","1,421","POINT (-87.5940171 41.7905618)","17031411200","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031580300","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","3.6",,,"3.1","4.2","2,577","1,936","POINT (-87.708934 41.8251876)","17031580300","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031520200","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","33.9",,,"29.2","38.6","3,338","2,431","POINT (-87.5406913 41.7123087)","17031520200","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031440102","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","34.3",,,"29.5","39.3","3,633","2,985","POINT (-87.6011636 41.7409356)","17031440102","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031560100","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","32.2",,,"28.7","35.8","1,477","1,180","POINT (-87.741591 41.8156765)","17031560100","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031381900","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","17.0",,,"15.0","19.1","1,106","886","POINT (-87.6138885 41.8039557)","17031381900","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031420200","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","29.9",,,"25.4","34.6","1,781","1,397","POINT (-87.5935208 41.783468)","17031420200","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031252102","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","9.5",,,"8.1","11.1","6,187","4,704","POINT (-87.7598276 41.876599)","17031252102","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031230500","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","38.4",,,"34.4","42.4","3,419","2,589","POINT (-87.7339434 41.9116892)","17031230500","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031580700","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","17.5",,,"15.5","19.5","5,621","4,182","POINT (-87.6868459 41.8174935)","17031580700","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031620400","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","4.7",,,"4.0","5.5","5,027","3,695","POINT (-87.7181682 41.7896382)","17031620400","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031411100","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","21.2",,,"18.5","23.9","2,379","2,022","POINT (-87.5897008 41.7904552)","17031411100","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031320600","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","13.6",,,"12.0","15.4","6,395","6,015","POINT (-87.6165962 41.8705542)","17031320600","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031171000","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","5.3",,,"4.4","6.3","7,313","5,834","POINT (-87.7965238 41.9418072)","17031171000","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031490600","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","16.0",,,"14.0","18.1","1,443","1,145","POINT (-87.6283302 41.7179734)","17031490600","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031630300","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","18.4",,,"16.0","20.7","5,385","3,852","POINT (-87.7086378 41.798862)","17031630300","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031200402","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","4.5",,,"3.6","5.4","4,192","3,186","POINT (-87.7296789 41.9196348)","17031200402","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031430700","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","27.5",,,"23.0","32.3","2,175","1,881","POINT (-87.5608903 41.7652716)","17031430700","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031420600","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","20.8",,,"18.3","23.2","2,524","1,768","POINT (-87.6132777 41.7830135)","17031420600","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031710200","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","14.1",,,"12.6","15.8","4,635","3,442","POINT (-87.6514252 41.7551131)","17031710200","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031280100","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","1.6",,,"1.4","1.8","7,421","7,033","POINT (-87.6434977 41.885452)","17031280100","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031250700","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","45.0",,,"41.0","48.8","5,932","4,643","POINT (-87.7608128 41.9058206)","17031250700","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031241600","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.1",,,"8.1","10.2","3,534","3,251","POINT (-87.6653277 41.9067097)","17031241600","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031250500","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","21.1",,,"18.5","23.8","7,315","5,914","POINT (-87.796796 41.914618)","17031250500","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031220901","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","19.5",,,"17.1","21.8","2,903","2,213","POINT (-87.7212483 41.9191816)","17031220901","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031190200","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","5.6",,,"4.8","6.5","5,652","4,277","POINT (-87.7516489 41.9351136)","17031190200","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031222200","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","13.4",,,"11.8","15.5","2,156","1,726","POINT (-87.6838262 41.9159095)","17031222200","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031410700","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","27.7",,,"24.6","30.9","2,399","2,124","POINT (-87.5941996 41.7980493)","17031410700","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031691100","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","32.3",,,"28.0","36.6","2,980","2,225","POINT (-87.6298721 41.7617135)","17031691100","RISKBEH","LPA","CrdPrv","Physical Inactivity"
